Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United Kingdom,GBR,73233967692,77741965703,81247564156,86561961812,94407558351,101824755078,108572752102,113116888210,107759910067,116464702803,130671946244,148113896325,169965034965,192537971582,206131369798,241756637168,232614555256,263066457352,335883029721,438994070309,564947710899,540765675241,515048916841,489618008185,461487097632,489285164271,601452653180,745162608269,910122732123,926884816753,1093169389204,1142797178130,1179659529659,1061388722255,1140489745944,1341584345905,1415358814352,1559078258022,1650172242464,1682399288141,1657816613708,1640246149417,1784473920863,2053018775510,2416931526913,2538680000000,2713749770009,3100882352941,2922667279411,2410909799034,2475244321361,2659310054646,2704887678386,2786022872706,3063803240208,2928591002002,2694283209613
China,CHN,59716467625,50056868957,47209359005,50706799902,59708343488,70436266146,76720285969,72881631326,70846535055,79705906247,92602973434,99800958648,113687586299,138544284708,144182133387,163431551779,153940455341,174938098826,149540752829,178280594413,191149211575,195866382432,205089699858,230686747153,259946510957,309488028132,300758100107,272972974764,312353631207,347768051311,360857912565,383373318083,426915712711,444731282436,564324670005,734547898220,863746717503,961603952951,1029043097554,1093997267271,1211346869605,1339395718865,1470550015081,1660287965662,1955347004963,2285965892360,2752131773355,3550342737010,4594307032660,5101703073086,6087163874512,7551500124203,8532229986993,9570406235659,10475682920594,11061553079876,11233276536737
France,FRA,62225478000,67461644222,75607529809,84759195105,94007851047,101537248148,110045852177,118972977486,129785441507,141903068680,148456359985,165966615366,203494148244,264429876252,285552373158,360832186018,372319038514,410279486493,506707848837,613953129818,701288419745,615552202776,584877732308,559869179791,530683779929,553138414367,771470783218,934173305685,1018847043277,1025211803413,1269179616913,1269276828275,1401465923172,1322815612694,1393982750472,1601094756209,1605675086549,1452884917959,1503108739159,1492647560196,1362248940482,1376465324384,1494286655373,1840480812641,2115742488204,2196126103718,2318593651988,2657213249384,2918382891460,2690222283967,2642609548930,2861408170264,2683825225092,2811077725703,2852165760630,2438207896251,2471285607081
Ireland,IRL,1939329775,2088012282,2260349684,2430843768,2766608945,2945704142,3104034393,3343636773,3278584478,3787077343,4401258741,5104356075,6325627458,7490133127,7906317436,9495165505,9465077837,11261810688,14665537601,18341273372,21773901925,20694943592,21500471719,20790917098,20130728188,21295485966,28748959304,33961141151,37818133173,39285384529,49364680213,49847127646,55985504488,52480251191,57166035335,69222625000,75880630040,82826141356,90082052259,98692079693,99852958356,109135253691,127949874835,164284689616,193870692823,211649034945,232083467569,269917942786,275038895561,236316405946,222148757577,237472361733,224999484361,238543539440,258471884599,291499812214,300523297823
Singapore,SGP,704756304,764634783,826244609,917614007,894159153,974650463,1096432771,1238043904,1425715405,1659904612,1920586698,2263785443,2721440980,3696213333,5221534955,5633673929,6327077974,6618585073,7517176354,9296921723,11896256782,14175228843,16084252378,17784112149,19749361097,19156532745,18586746056,20919215578,25371462488,30465364738,36144336768,45466164978,52130263965,60603478153,73690847191,87810991957,96295886524,100124191810,85728310229,86284660766,96074477958,89794943349,92537752708,97645448283,115035498757,127807618360,148630373214,180941941477,193611986712,194152286008,239809387605,279351168707,295087220933,307576360584,314851156183,308004146057,318652334419
