Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United Kingdom,GBR,71.127,70.878,70.927,70.827,71.624,71.624,71.573,72.124,71.724,71.722,71.973,72.273,72.124,72.324,72.524,72.724,72.776,73.224,73.176,73.276,73.676,74.027,74.178,74.378,74.778,74.629,74.929,75.28,75.38,75.583,75.88,76.083,76.434,76.385,76.885,76.837,77.088,77.211,77.19,77.39,77.741,77.993,78.144,78.446,78.746,79.049,79.249,79.449,79.6,80.051,80.402,80.951,80.905,81.005,81.305,80.956,80.956
China,CHN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.843,67.256,67.618,67.933,68.21,68.451,68.661,68.842,69.002,69.15,69.293,69.437,69.587,69.75,69.935,70.156,70.427,70.747,71.115,71.521,71.955,72.401,72.84,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932,76.092,76.252
France,FRA,69.868,70.117,70.315,70.515,70.663,70.812,70.961,71.161,71.31,71.459,71.659,71.907,72.107,72.356,72.605,72.854,73.102,73.351,73.602,73.851,74.051,74.3,74.5,74.8,75.0,75.3,75.6,75.8,76.1,76.349,76.6,76.849,77.1,77.3,77.649,77.751,77.954,78.305,78.605,78.756,79.056,79.159,79.261,79.115,80.163,80.163,80.812,81.112,81.215,81.415,81.663,82.115,81.968,82.22,82.671,82.273,82.273
Ireland,IRL,69.797,69.978,70.134,70.273,70.401,70.523,70.638,70.745,70.844,70.938,71.031,71.129,71.232,71.346,71.472,71.617,71.783,71.969,72.174,72.393,72.623,72.856,73.088,73.314,73.531,73.742,73.951,74.163,74.378,74.596,74.809,75.005,75.181,75.336,75.477,75.618,75.832,75.985,76.18,76.083,76.537,77.134,77.634,78.139,78.539,78.944,79.241,79.641,80.095,80.19,80.744,80.746,80.846,81.0,81.349,81.454,81.607
Singapore,SGP,65.66,66.087,66.432,66.701,66.91,67.086,67.256,67.446,67.674,67.951,68.279,68.65,69.043,69.44,69.835,70.22,70.594,70.961,71.323,71.683,72.19,72.588,72.688,73.037,73.29,73.89,74.246,74.549,74.698,74.946,75.295,75.646,75.946,76.046,76.198,76.295,76.595,76.898,77.3,77.551,77.951,78.251,78.551,79.039,79.49,79.99,80.141,80.441,80.79,81.241,81.541,81.744,81.995,82.246,82.495,82.744,82.795
