Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,0.0,0.54847,0.6129,0.64236,0.66655,0.64973,0.7014,0.74743,0.51925,0.34533,0.34922,0.44625,0.58119,0.55404,0.17021,-0.26532,-0.17667,0.03839,-0.08096,-0.17046,0.00011,0.25502,0.07172,-0.1616,-0.00629,0.04695,0.06355,0.06328,0.14157,0.45051,0.762,0.99842,1.10055,0.82463,0.38487,0.15311,0.13502,0.11332,0.10973,0.19456,0.24047,0.3828,0.49198,0.48713,0.62041,0.68127,0.4948,0.32415,0.31304,0.26195,0.24039,0.33708,0.45594,0.58939,0.78154,1.12099,1.0814
Azerbaijan,AZE,0.0,3.40507,3.44117,3.38688,3.22789,3.00426,2.76831,2.55822,2.37389,2.22683,2.10887,1.99744,1.88823,1.80012,1.73551,1.68953,1.65326,1.62335,1.60383,1.59375,1.59115,1.59004,1.59127,1.60164,1.62209,1.64652,1.66871,1.68032,1.67642,1.65321,0.44966,1.55235,1.51508,1.51915,1.35173,1.15169,1.00985,0.96467,0.94914,0.8776,0.82152,0.77477,0.74617,0.75765,0.87543,1.02227,1.09859,1.13386,2.09985,2.07615,1.18979,1.303,1.32876,1.29345,1.24821,1.19121,1.11786
Burundi,BDI,0.0,1.92935,1.9058,1.94517,2.06537,2.22498,2.42989,2.57585,2.54057,2.28062,1.89097,1.45309,1.1175,0.98847,1.13922,1.48217,1.87354,2.1921,2.43027,2.54918,2.58438,2.59332,2.61872,2.65433,2.71044,2.76874,2.82052,2.83248,2.777,2.64189,2.45476,2.28964,2.14468,1.95917,1.72551,1.48204,1.21305,1.0182,1.03078,1.30997,1.76736,2.27334,2.69967,3.0126,3.17015,3.21717,3.24602,3.28878,3.30131,3.28727,3.25607,3.20776,3.15974,3.13341,3.13685,3.15691,3.17702
Belgium,BEL,0.0,0.33221,0.39805,0.74761,0.94648,0.90814,0.67546,0.55665,0.39339,0.28317,0.09861,0.18225,0.39159,0.31466,0.31463,0.28898,0.17867,0.12348,0.0933,0.08988,0.11021,-0.00264,-0.02718,-0.00794,-0.0015,0.02979,0.03565,0.08525,0.31793,0.36325,0.29824,0.37159,0.40571,0.39064,0.3082,0.20944,0.19539,0.24199,0.21353,0.22919,0.24252,0.34395,0.44827,0.41864,0.43279,0.55006,0.65956,0.73433,0.78998,0.8046,0.91364,1.301,0.62016,0.47134,0.44393,0.57945,0.5063
Benin,BEN,0.0,1.39849,1.4905,1.58406,1.68097,1.77805,1.87428,1.96216,2.03676,2.09396,2.1406,2.18154,2.22579,2.27735,2.34056,2.4101,2.48058,2.54463,2.60167,2.64876,2.68945,2.73226,2.77736,2.81745,2.85181,2.88526,2.90254,2.9255,2.98865,3.10077,3.23506,3.37716,3.479,3.50077,3.42606,3.29361,3.14532,3.02838,2.95861,2.95175,2.98399,3.02378,3.04308,3.03967,3.00534,2.95238,2.89754,2.85409,2.82356,2.8093,2.80609,2.80372,2.79765,2.79072,2.78218,2.77171,2.76141
Burkina Faso,BFA,0.0,1.34294,1.3343,1.35152,1.40362,1.47913,1.56251,1.63515,1.68922,1.71745,1.72923,1.74099,1.7629,1.7917,1.83051,1.878,1.92292,1.97116,2.04008,2.13357,2.24081,2.35117,2.44783,2.51959,2.55978,2.57781,2.59025,2.60586,2.62172,2.63969,2.65915,2.67692,2.69299,2.70965,2.72732,2.74591,2.76489,2.78369,2.80294,2.82227,2.84189,2.85887,2.87599,2.89843,2.92756,2.95919,2.98906,3.01182,3.02495,3.02645,3.01925,3.00898,2.99739,2.98161,2.9619,2.93946,2.91532
Bangladesh,BGD,0.0,2.77157,2.77561,2.81668,2.90686,3.01213,3.15025,3.23045,3.14184,2.85025,2.44704,2.00239,1.65575,1.50725,1.62007,1.90782,2.23844,2.49634,2.66808,2.7182,2.68574,2.63699,2.61284,2.59944,2.6056,2.62059,2.635,2.63022,2.59503,2.52339,2.4296,2.3253,2.23302,2.16826,2.14008,2.1345,2.13048,2.11153,2.07734,2.02275,1.95239,1.88629,1.82007,1.73127,1.6152,1.48474,1.34713,1.22662,1.14565,1.11681,1.1248,1.14426,1.15495,1.15671,1.14259,1.11728,1.0913
Bulgaria,BGR,0.0,0.95816,0.87526,0.81038,0.81609,0.73191,0.6547,0.62975,0.71196,0.76851,0.65473,0.55,0.46521,0.52063,0.66797,0.48274,0.43316,0.5191,0.1118,0.13501,0.40249,0.33327,0.29581,0.24955,0.23397,-0.00147,-0.02652,0.14711,0.11237,-1.17004,-1.80375,-0.99043,-1.07385,-0.79767,-0.33959,-0.4454,-0.51573,-0.6088,-0.6673,-0.56065,-0.4939,-1.99063,-2.1707,-0.79211,-0.7548,-0.75298,-0.75951,-0.73528,-0.70192,-0.64428,-0.65828,-0.64123,-0.57922,-0.55965,-0.56839,-0.63807,-0.70138
Bahrain,BHR,0.0,3.31042,3.07908,2.84461,2.62987,2.45423,2.29381,2.20872,2.3141,2.65078,3.13511,3.56087,3.93539,4.42675,5.04097,5.64597,6.2565,6.62096,6.48055,5.80286,4.86486,3.87837,3.11312,2.68522,2.68058,2.9526,3.29538,3.51126,3.55048,3.3585,3.03887,2.75032,2.58059,2.478,2.46339,2.53571,2.62086,2.772,3.10608,3.65426,4.31531,4.83651,5.25021,5.7567,6.36016,6.9044,7.50023,7.77602,7.32434,6.12745,4.59978,2.96098,1.69059,1.15383,1.58775,2.64247,3.85658
"Bahamas, The",BHS,0.0,4.97487,5.05586,5.03105,4.8813,4.6398,4.41559,4.17315,3.87367,3.48113,3.06278,2.62902,2.26133,2.03189,1.9655,2.01923,2.1022,2.14977,2.19639,2.21183,2.21194,2.22353,2.23104,2.20101,2.12708,2.00437,1.87465,1.76414,1.70365,1.71564,1.76792,1.85029,1.90543,1.87681,1.74693,1.56038,1.34502,1.18321,1.12086,1.18532,1.3474,1.52067,1.6524,1.762,1.82435,1.85325,1.88268,1.90185,1.84773,1.70872,1.51533,1.29739,1.1082,0.98092,0.93928,0.95941,0.99052
