Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bangladesh,BGD,45.831,46.46,47.086,47.694,48.257,48.69,48.895,48.838,48.535,48.05,47.523,47.136,47.031,47.291,47.925,48.865,49.981,51.098,52.082,52.878,53.478,53.917,54.292,54.678,55.102,55.578,56.102,56.654,57.22,57.8,58.401,59.033,59.7,60.4,61.127,61.868,62.61,63.338,64.038,64.702,65.324,65.903,66.448,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489
Bulgaria,BGR,69.248,70.196,69.492,70.309,71.121,71.294,71.223,70.414,71.225,70.43,71.256,70.874,70.9,71.342,71.208,71.05,71.395,70.816,71.185,71.308,71.158,71.572,71.186,71.386,71.5,71.228,71.731,71.527,71.604,71.722,71.641,71.561,71.494,71.347,71.209,71.053,70.897,70.351,71.061,71.412,71.663,71.768,71.866,72.066,72.563,72.561,72.612,72.663,72.963,73.412,73.512,74.163,74.315,74.861,74.466,74.615,74.615
Bahrain,BHR,51.868,53.234,54.589,55.91,57.181,58.387,59.523,60.595,61.608,62.559,63.448,64.274,65.042,65.757,66.421,67.04,67.616,68.152,68.651,69.117,69.55,69.95,70.316,70.65,70.956,71.237,71.495,71.735,71.962,72.179,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9
"Bahamas, The",BHS,62.881,63.22,63.551,63.873,64.189,64.498,64.8,65.095,65.383,65.665,65.943,66.218,66.49,66.759,67.027,67.291,67.55,67.803,68.05,68.29,68.524,68.755,68.984,69.212,69.438,69.663,69.886,70.104,70.316,70.518,70.705,70.869,71.01,71.131,71.239,71.351,71.482,71.646,71.85,72.093,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675
Belarus,BLR,67.708,68.213,68.636,68.992,69.29,69.537,69.735,69.882,69.983,70.045,70.079,70.093,70.092,70.082,70.068,70.048,70.016,69.967,69.906,69.842,69.802,69.819,69.908,70.065,70.272,70.993,71.55,70.99,71.341,71.483,70.837,70.378,70.022,68.971,68.768,68.461,68.512,68.461,68.407,67.907,68.912,68.507,68.056,68.554,68.956,68.851,69.405,70.207,70.456,70.407,70.405,70.554,71.966,72.471,72.971,73.624,73.827
Belize,BLZ,59.981,60.531,61.092,61.663,62.241,62.823,63.402,63.971,64.525,65.058,65.566,66.047,66.504,66.939,67.354,67.751,68.135,68.509,68.874,69.229,69.577,69.921,70.257,70.575,70.865,71.11,71.294,71.405,71.437,71.386,71.246,71.011,70.696,70.325,69.922,69.517,69.143,68.82,68.568,68.4,68.329,68.356,68.46,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384
Bolivia,BOL,42.138,42.454,42.778,43.11,43.451,43.8,44.157,44.523,44.898,45.28,45.671,46.07,46.477,46.892,47.315,47.745,48.183,48.629,49.082,49.543,50.012,50.489,50.974,51.466,51.965,52.472,52.986,53.507,54.034,54.566,55.104,55.647,56.195,56.747,57.303,57.862,58.423,58.987,59.554,60.122,60.69,61.26,61.829,62.399,62.968,63.538,64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125
Brazil,BRA,54.241,54.754,55.27,55.785,56.293,56.794,57.289,57.776,58.254,58.717,59.154,59.557,59.919,60.241,60.527,60.782,61.017,61.244,61.476,61.721,61.983,62.264,62.559,62.866,63.185,63.514,63.852,64.197,64.552,64.917,65.3,65.708,66.144,66.607,67.095,67.6,68.112,68.622,69.12,69.599,70.055,70.486,70.896,71.29,71.67,72.04,72.405,72.768,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509
Barbados,BRB,61.002,61.481,61.964,62.451,62.94,63.426,63.9,64.355,64.786,65.191,65.569,65.922,66.257,66.58,66.894,67.203,67.51,67.816,68.12,68.424,68.726,69.024,69.317,69.602,69.878,70.145,70.405,70.658,70.905,71.147,71.383,71.614,71.841,72.061,72.275,72.481,72.678,72.865,73.043,73.213,73.377,73.535,73.691,73.847,74.004,74.163,74.324,74.486,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906
Brunei Darussalam,BRN,62.467,63.017,63.544,64.044,64.515,64.957,65.375,65.776,66.167,66.55,66.928,67.3,67.665,68.021,68.369,68.706,69.032,69.347,69.651,69.945,70.23,70.509,70.784,71.056,71.326,71.595,71.864,72.132,72.397,72.659,72.916,73.167,73.413,73.651,73.883,74.11,74.332,74.551,74.769,74.985,75.202,75.425,75.65,75.875,76.093,76.291,76.455,76.577,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203
Bhutan,BTN,34.526,34.889,35.29,35.734,36.22,36.745,37.303,37.882,38.469,39.057,39.635,40.194,40.735,41.263,41.784,42.311,42.861,43.447,44.077,44.751,45.464,46.204,46.954,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.879,53.637,54.393,55.146,55.898,56.657,57.432,58.231,59.055,59.899,60.758,61.625,62.484,63.322,64.126,64.882,65.578,66.214,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197
Botswana,BWA,50.661,51.028,51.381,51.726,52.068,52.418,52.787,53.184,53.617,54.09,54.609,55.176,55.782,56.415,57.065,57.721,58.375,59.016,59.63,60.204,60.733,61.215,61.65,62.029,62.334,62.556,62.688,62.716,62.62,62.372,61.905,61.146,60.083,58.748,57.203,55.53,53.826,52.211,50.808,49.712,49.03,48.838,49.108,49.788,50.832,52.165,53.695,55.312,56.919,58.45,59.868,61.179,62.425,63.63,64.78,65.846,66.797
Central African Republic,CAF,36.489,36.902,37.326,37.768,38.233,38.734,39.281,39.877,40.522,41.212,41.946,42.72,43.521,44.33,45.129,45.9,46.628,47.302,47.911,48.442,48.886,49.24,49.507,49.694,49.799,49.823,49.761,49.619,49.402,49.118,48.767,48.35,47.873,47.352,46.807,46.252,45.7,45.166,44.675,44.254,43.937,43.755,43.718,43.827,44.08,44.466,44.967,45.552,46.19,46.862,47.56,48.284,49.041,49.825,50.621,51.41,52.171
Canada,CAN,71.133,71.346,71.367,71.381,71.776,71.872,72.004,72.208,72.353,72.501,72.7,73.029,72.934,73.163,73.238,73.522,73.856,74.216,74.53,74.866,75.078,75.479,75.68,76.036,76.318,76.303,76.44,76.74,76.809,77.066,77.377,77.553,77.321,77.685,77.862,77.978,78.23,78.48,78.662,78.883,79.237,79.488,79.59,79.839,80.141,80.293,80.293,80.544,80.695,80.946,81.198,81.449,81.584,81.772,81.953,82.129,82.301
Central Europe and the Baltics,CEB,67.821,68.262,68.007,68.696,69.052,69.277,69.527,69.273,69.536,69.276,69.447,69.485,69.925,70.068,70.306,70.174,70.319,70.242,70.148,70.239,69.89,70.371,70.455,70.39,70.349,70.313,70.565,70.612,70.862,70.732,70.656,70.573,70.732,70.846,70.87,71.026,71.335,71.518,71.898,72.185,72.72,73.098,73.244,73.384,73.739,73.84,74.095,74.252,74.578,74.932,75.295,75.888,75.993,76.355,76.685,76.591,76.603
Switzerland,CHE,71.313,71.645,71.196,71.188,72.078,72.202,72.336,72.637,72.59,72.613,73.02,73.131,73.644,73.941,74.287,74.666,74.785,75.238,75.187,75.466,75.459,75.693,76.034,76.031,76.609,76.734,76.899,77.198,77.227,77.421,77.242,77.515,77.806,78.085,78.35,78.417,78.896,79.08,79.324,79.58,79.68,80.18,80.385,80.537,81.088,81.237,81.49,81.741,81.993,82.044,82.246,82.695,82.698,82.798,83.198,82.898,82.898
